role,build_plan_family,source_scope,colony_class,slots,selected_count,selected_objects,gross_role_output,net_role_output,output_physics_research,output_society_research,output_engineering_research,output_energy,output_minerals,output_consumer_goods,output_alloys,output_volatile_motes,output_exotic_gases,output_rare_crystals,output_food,output_unity,output_influence,output_trade,output_trade_value,output_sr_zro,output_sr_dark_matter,output_sr_living_metal,output_nanites,output_giga_sr_negative_mass,output_giga_sr_amb_megaconstruction,output_giga_sr_iodizium,output_giga_sr_sentient_metal,upkeep_physics_research,upkeep_society_research,upkeep_engineering_research,upkeep_energy,upkeep_minerals,upkeep_consumer_goods,upkeep_alloys,upkeep_volatile_motes,upkeep_exotic_gases,upkeep_rare_crystals,upkeep_food,upkeep_unity,upkeep_influence,upkeep_trade,upkeep_trade_value,upkeep_sr_zro,upkeep_sr_dark_matter,upkeep_sr_living_metal,upkeep_nanites,upkeep_giga_sr_negative_mass,upkeep_giga_sr_amb_megaconstruction,upkeep_giga_sr_iodizium,upkeep_giga_sr_sentient_metal,net_physics_research,net_society_research,net_engineering_research,net_energy,net_minerals,net_consumer_goods,net_alloys,net_volatile_motes,net_exotic_gases,net_rare_crystals,net_food,net_unity,net_influence,net_trade,net_trade_value,net_sr_zro,net_sr_dark_matter,net_sr_living_metal,net_nanites,net_giga_sr_negative_mass,net_giga_sr_amb_megaconstruction,net_giga_sr_iodizium,net_giga_sr_sentient_metal
agri_world,agri_world,build_plan_candidate_terminal_buildings_10_in_10_slots,building_slots_any_colony,10,10,building_nourishment_center|building_giga_gas_giant_habitation_module|building_giga_interstellar_hydroponic_farm|building_low_tech_farm|building_contained_ecosphere|building_giga_pcc_scrap_pile|building_bio_reprocessing_facilities|building_food_processing_center|building_junkheap|building_giga_corrona_homes,491.0,491.0,0.0,0.0,0.0,312.0,209.0,10.0,82.0,0.0,0.0,0.0,491.0,0.5,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,5.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,209.0,10.0,77.0,0.0,-9.0,0.0,491.0,0.5,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agri_world,agri_world,build_plan_candidate_terminal_buildings_12_in_12_slots,building_slots_any_colony,12,12,building_nourishment_center|building_giga_gas_giant_habitation_module|building_giga_interstellar_hydroponic_farm|building_low_tech_farm|building_contained_ecosphere|building_giga_pcc_scrap_pile|building_bio_reprocessing_facilities|building_food_processing_center|building_junkheap|building_giga_corrona_homes|building_foundry_upkeep_1|building_food_conglomerate,511.0,511.0,0.0,0.0,0.0,312.0,219.0,10.0,82.0,0.0,0.0,0.0,511.0,0.5,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,5.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,219.0,10.0,77.0,-2.0,-9.0,0.0,511.0,0.5,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agri_world,agri_world,build_plan_candidate_terminal_buildings_6_in_6_slots,building_slots_any_colony,6,6,building_nourishment_center|building_giga_gas_giant_habitation_module|building_giga_interstellar_hydroponic_farm|building_low_tech_farm|building_contained_ecosphere|building_giga_pcc_scrap_pile,439.0,439.0,0.0,0.0,0.0,312.0,196.0,0.0,80.0,0.0,0.0,0.0,439.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,196.0,0.0,75.0,0.0,-5.0,0.0,439.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agri_world,agri_world,build_plan_candidate_terminal_buildings_8_in_8_slots,building_slots_any_colony,8,8,building_nourishment_center|building_giga_gas_giant_habitation_module|building_giga_interstellar_hydroponic_farm|building_low_tech_farm|building_contained_ecosphere|building_giga_pcc_scrap_pile|building_bio_reprocessing_facilities|building_food_processing_center,471.0,471.0,0.0,0.0,0.0,312.0,196.0,0.0,81.0,0.0,0.0,0.0,471.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,5.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,196.0,0.0,76.0,0.0,-9.0,0.0,471.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agri_world,agri_world,development_top_1,all_colony_classes,0,1,district:district_giga_birch_void_ktisma,10000.0,10000.0,0.0,0.0,0.0,10000.0,10000.0,5000.0,5000.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,5000.0,5000.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agri_world,agri_world,development_top_1,birch_world,0,1,district:district_giga_birch_void_ktisma,10000.0,10000.0,0.0,0.0,0.0,10000.0,10000.0,5000.0,5000.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,5000.0,5000.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agri_world,agri_world,development_top_1,frameworld,0,1,district:district_giga_frameworld_farming,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agri_world,agri_world,development_top_1,generic_planet_or_special,0,1,district:district_rw_farming,275.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,275.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,275.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agri_world,agri_world,development_top_1,habitat,0,1,district:district_giga_hab_city,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.07,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.01,0.0,0.0,0.0,0.07,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agri_world,agri_world,development_top_1,resort_world,0,1,zone:zone_resort_hunting_ground,6.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
