schema_version,source_provenance_id,evidence_class,scenario_id,policy_id,baseline_policy_id,horizon_months,unsafe_predeficit_activation_count,foregone_affordable_action_count,major_lanes_progressed,deficit_exit_month_volatile_motes,durable_strict_positive_month_volatile_motes,durable_earned_recovery_month_volatile_motes,earned_income_recovered_volatile_motes,market_stock_only_volatile_motes,minimum_stockpile_volatile_motes,producer_starts_volatile_motes,producer_completions_volatile_motes,deficit_exit_month_exotic_gases,durable_strict_positive_month_exotic_gases,durable_earned_recovery_month_exotic_gases,earned_income_recovered_exotic_gases,market_stock_only_exotic_gases,minimum_stockpile_exotic_gases,producer_starts_exotic_gases,producer_completions_exotic_gases,deficit_exit_month_rare_crystals,durable_strict_positive_month_rare_crystals,durable_earned_recovery_month_rare_crystals,earned_income_recovered_rare_crystals,market_stock_only_rare_crystals,minimum_stockpile_rare_crystals,producer_starts_rare_crystals,producer_completions_rare_crystals,actions_colonization,starvation_months_colonization,actions_expansion,starvation_months_expansion,actions_planetary_development,starvation_months_planetary_development,actions_research,starvation_months_research,actions_new_hulls,starvation_months_new_hulls,actions_upgrades,starvation_months_upgrades,actions_claims,starvation_months_claims,actions_defense,starvation_months_defense,actions_war_preparation,starvation_months_war_preparation,actions_strategic_producer,starvation_months_strategic_producer,actions_market_bridge,starvation_months_market_bridge,actions_megastructure,starvation_months_megastructure,unsafe,unsafe_reason_codes
1,f70407d316d85e76fb66b50efd74dbdcec883c5e2b501a1bfcb5082cb2c4568a,deterministic_model_not_runtime_proof,rich_opening,parent-only,parent-only,24,0,14,11,,,,False,False,0,0,0,0,1,1,True,False,20,0,0,,,,False,False,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,False,
1,f70407d316d85e76fb66b50efd74dbdcec883c5e2b501a1bfcb5082cb2c4568a,deterministic_model_not_runtime_proof,rich_opening,deficit-only-plus-one,parent-only,24,0,14,11,,,,False,False,0,0,0,0,1,1,True,False,20,0,0,,,,False,False,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,False,
1,f70407d316d85e76fb66b50efd74dbdcec883c5e2b501a1bfcb5082cb2c4568a,deterministic_model_not_runtime_proof,rich_opening,deficit-only-plus-two,parent-only,24,0,14,11,,,,False,False,0,0,0,0,1,1,True,False,20,0,0,,,,False,False,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,False,
1,f70407d316d85e76fb66b50efd74dbdcec883c5e2b501a1bfcb5082cb2c4568a,deterministic_model_not_runtime_proof,rich_opening,prezero-runway-plus-one,parent-only,24,0,14,11,,,,False,False,0,0,0,0,1,1,True,False,20,0,0,,,,False,False,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,False,
1,f70407d316d85e76fb66b50efd74dbdcec883c5e2b501a1bfcb5082cb2c4568a,deterministic_model_not_runtime_proof,rich_opening,failed-c9da19b3,parent-only,24,24,37,12,,,,False,False,0,0,0,0,1,1,True,False,20,2,2,,,,False,False,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,1,15,True,predeficit_activation|cross_priority_starvation
1,f70407d316d85e76fb66b50efd74dbdcec883c5e2b501a1bfcb5082cb2c4568a,deterministic_model_not_runtime_proof,low_capacity_low_use,parent-only,parent-only,12,0,0,1,,,,False,False,0,0,0,0,,1,True,False,0.05,0,0,,,,False,False,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,
1,f70407d316d85e76fb66b50efd74dbdcec883c5e2b501a1bfcb5082cb2c4568a,deterministic_model_not_runtime_proof,low_capacity_low_use,deficit-only-plus-one,parent-only,12,0,0,1,,,,False,False,0,0,0,0,,1,True,False,0.05,0,0,,,,False,False,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,
1,f70407d316d85e76fb66b50efd74dbdcec883c5e2b501a1bfcb5082cb2c4568a,deterministic_model_not_runtime_proof,low_capacity_low_use,deficit-only-plus-two,parent-only,12,0,0,1,,,,False,False,0,0,0,0,,1,True,False,0.05,0,0,,,,False,False,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,
1,f70407d316d85e76fb66b50efd74dbdcec883c5e2b501a1bfcb5082cb2c4568a,deterministic_model_not_runtime_proof,low_capacity_low_use,prezero-runway-plus-one,parent-only,12,0,0,1,,,,False,False,0,0,0,0,,1,True,False,0.05,0,0,,,,False,False,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,
1,f70407d316d85e76fb66b50efd74dbdcec883c5e2b501a1bfcb5082cb2c4568a,deterministic_model_not_runtime_proof,low_capacity_low_use,failed-c9da19b3,parent-only,12,12,12,1,,,,False,False,0,0,0,0,1,1,True,False,0.05,12,12,,,,False,False,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,True,predeficit_activation|cross_priority_starvation
1,f70407d316d85e76fb66b50efd74dbdcec883c5e2b501a1bfcb5082cb2c4568a,deterministic_model_not_runtime_proof,research_gas_deficit,parent-only,parent-only,24,0,0,1,,,,False,False,0,0,0,,,,False,False,0,0,0,,,,False,False,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,
1,f70407d316d85e76fb66b50efd74dbdcec883c5e2b501a1bfcb5082cb2c4568a,deterministic_model_not_runtime_proof,research_gas_deficit,deficit-only-plus-one,parent-only,24,0,0,2,,,,False,False,0,0,0,2,,2,True,False,0,1,1,,,,False,False,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,
1,f70407d316d85e76fb66b50efd74dbdcec883c5e2b501a1bfcb5082cb2c4568a,deterministic_model_not_runtime_proof,research_gas_deficit,deficit-only-plus-two,parent-only,24,0,0,2,,,,False,False,0,0,0,2,,2,True,False,0,1,1,,,,False,False,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,
1,f70407d316d85e76fb66b50efd74dbdcec883c5e2b501a1bfcb5082cb2c4568a,deterministic_model_not_runtime_proof,research_gas_deficit,prezero-runway-plus-one,parent-only,24,0,0,2,,,,False,False,0,0,0,2,,2,True,False,0,1,1,,,,False,False,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,
1,f70407d316d85e76fb66b50efd74dbdcec883c5e2b501a1bfcb5082cb2c4568a,deterministic_model_not_runtime_proof,research_gas_deficit,failed-c9da19b3,parent-only,24,0,0,2,,,,False,False,0,0,0,2,,2,True,False,0,1,1,,,,False,False,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,
1,f70407d316d85e76fb66b50efd74dbdcec883c5e2b501a1bfcb5082cb2c4568a,deterministic_model_not_runtime_proof,threat_strategic_deficit,parent-only,parent-only,24,0,0,2,,,,False,False,0,0,0,,,,False,False,0,0,0,,,,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,
1,f70407d316d85e76fb66b50efd74dbdcec883c5e2b501a1bfcb5082cb2c4568a,deterministic_model_not_runtime_proof,threat_strategic_deficit,deficit-only-plus-one,parent-only,24,0,0,3,,,,False,False,0,0,0,2,,2,True,False,0,1,1,,,,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,False,
1,f70407d316d85e76fb66b50efd74dbdcec883c5e2b501a1bfcb5082cb2c4568a,deterministic_model_not_runtime_proof,threat_strategic_deficit,deficit-only-plus-two,parent-only,24,0,0,3,,,,False,False,0,0,0,2,,2,True,False,0,1,1,,,,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,False,
1,f70407d316d85e76fb66b50efd74dbdcec883c5e2b501a1bfcb5082cb2c4568a,deterministic_model_not_runtime_proof,threat_strategic_deficit,prezero-runway-plus-one,parent-only,24,0,0,3,,,,False,False,0,0,0,2,,2,True,False,0,1,1,,,,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,False,
1,f70407d316d85e76fb66b50efd74dbdcec883c5e2b501a1bfcb5082cb2c4568a,deterministic_model_not_runtime_proof,threat_strategic_deficit,failed-c9da19b3,parent-only,24,0,0,3,,,,False,False,0,0,0,2,,2,True,False,0,1,1,,,,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,False,
1,f70407d316d85e76fb66b50efd74dbdcec883c5e2b501a1bfcb5082cb2c4568a,deterministic_model_not_runtime_proof,influence_sharing,parent-only,parent-only,12,0,0,2,,,,False,False,0,0,0,,,,False,False,0,0,0,,,,False,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,
1,f70407d316d85e76fb66b50efd74dbdcec883c5e2b501a1bfcb5082cb2c4568a,deterministic_model_not_runtime_proof,influence_sharing,deficit-only-plus-one,parent-only,12,0,0,2,,,,False,False,0,0,0,,,,False,False,0,0,0,,,,False,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,
1,f70407d316d85e76fb66b50efd74dbdcec883c5e2b501a1bfcb5082cb2c4568a,deterministic_model_not_runtime_proof,influence_sharing,deficit-only-plus-two,parent-only,12,0,0,2,,,,False,False,0,0,0,,,,False,False,0,0,0,,,,False,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,
