scope,check,status,object_name,source_file,decision_eligible,data_quality,build_cost_value,unresolved_symbols,market_unpriced_resources,reason
row,decision_eligible_data_quality,ok,neutronium_gigaforge_3,common/megastructures/zz_e_neutronium_gigaforge.txt,yes,resolved,6250.0,,unity=2500;engineering_research=250,decision eligibility matches resolved data quality
row,decision_eligible_cost,ok,neutronium_gigaforge_3,common/megastructures/zz_e_neutronium_gigaforge.txt,yes,resolved,6250.0,,unity=2500;engineering_research=250,decision-eligible rows have positive build cost or the row is audit-only
row,decision_eligible_unresolved_symbols,ok,neutronium_gigaforge_3,common/megastructures/zz_e_neutronium_gigaforge.txt,yes,resolved,6250.0,,unity=2500;engineering_research=250,decision-eligible row has no unresolved symbols
row,decision_eligible_market_unpriced_resources,warning,neutronium_gigaforge_3,common/megastructures/zz_e_neutronium_gigaforge.txt,yes,resolved,6250.0,,unity=2500;engineering_research=250,neutronium_gigaforge_3 keeps non-market resources as bottleneck notes: unity=2500;engineering_research=250
row,decision_eligible_data_quality,ok,nidavellir_forge_4,common/megastructures/zz_i_nidavellir_forge.txt,yes,resolved,45000.0,,unity=10000;influence=1,decision eligibility matches resolved data quality
row,decision_eligible_cost,ok,nidavellir_forge_4,common/megastructures/zz_i_nidavellir_forge.txt,yes,resolved,45000.0,,unity=10000;influence=1,decision-eligible rows have positive build cost or the row is audit-only
row,decision_eligible_unresolved_symbols,ok,nidavellir_forge_4,common/megastructures/zz_i_nidavellir_forge.txt,yes,resolved,45000.0,,unity=10000;influence=1,decision-eligible row has no unresolved symbols
row,decision_eligible_market_unpriced_resources,warning,nidavellir_forge_4,common/megastructures/zz_i_nidavellir_forge.txt,yes,resolved,45000.0,,unity=10000;influence=1,nidavellir_forge_4 keeps non-market resources as bottleneck notes: unity=10000;influence=1
row,decision_eligible_data_quality,ok,neutronium_gigaforge_2,common/megastructures/zz_e_neutronium_gigaforge.txt,yes,resolved,6250.0,,unity=2500;engineering_research=50,decision eligibility matches resolved data quality
row,decision_eligible_cost,ok,neutronium_gigaforge_2,common/megastructures/zz_e_neutronium_gigaforge.txt,yes,resolved,6250.0,,unity=2500;engineering_research=50,decision-eligible rows have positive build cost or the row is audit-only
row,decision_eligible_unresolved_symbols,ok,neutronium_gigaforge_2,common/megastructures/zz_e_neutronium_gigaforge.txt,yes,resolved,6250.0,,unity=2500;engineering_research=50,decision-eligible row has no unresolved symbols
row,decision_eligible_market_unpriced_resources,warning,neutronium_gigaforge_2,common/megastructures/zz_e_neutronium_gigaforge.txt,yes,resolved,6250.0,,unity=2500;engineering_research=50,neutronium_gigaforge_2 keeps non-market resources as bottleneck notes: unity=2500;engineering_research=50
row,decision_eligible_data_quality,ok,nidavellir_forge_3,common/megastructures/zz_i_nidavellir_forge.txt,yes,resolved,35000.0,,unity=10000,decision eligibility matches resolved data quality
row,decision_eligible_cost,ok,nidavellir_forge_3,common/megastructures/zz_i_nidavellir_forge.txt,yes,resolved,35000.0,,unity=10000,decision-eligible rows have positive build cost or the row is audit-only
row,decision_eligible_unresolved_symbols,ok,nidavellir_forge_3,common/megastructures/zz_i_nidavellir_forge.txt,yes,resolved,35000.0,,unity=10000,decision-eligible row has no unresolved symbols
row,decision_eligible_market_unpriced_resources,warning,nidavellir_forge_3,common/megastructures/zz_i_nidavellir_forge.txt,yes,resolved,35000.0,,unity=10000,nidavellir_forge_3 keeps non-market resources as bottleneck notes: unity=10000
