folder,source_file,object_id,has_planet_modifier_block,trigger_kind,roles
static_modifiers,!_ow_ascension_static_overwrites.txt,pd_wasteland_planet,True,has_modifier,general
static_modifiers,!_ow_ascension_static_overwrites.txt,pd_aw_shroud_planet,True,has_modifier,general
static_modifiers,!_ow_ascension_static_overwrites.txt,pd_aw_necro_planet,True,has_modifier,general
static_modifiers,!_ow_ascension_static_overwrites.txt,pd_necro_planet,True,has_modifier,general
static_modifiers,!_ow_ascension_static_overwrites.txt,pd_aw_necro_city_planet,True,has_modifier,general
static_modifiers,!_ow_ascension_static_overwrites.txt,pd_aw_lithoid_planet_cyan,True,has_modifier,general
static_modifiers,!_ow_ascension_static_overwrites.txt,pd_aw_lithoid_planet_red,True,has_modifier,general
static_modifiers,!_ow_ascension_static_overwrites.txt,pd_aw_lithoid_planet_yellow,True,has_modifier,general
static_modifiers,!_ow_ascension_static_overwrites.txt,pd_hive_military,True,has_modifier,general
static_modifiers,!_ow_ascension_static_overwrites.txt,pd_machine_military,True,has_modifier,general
static_modifiers,!pd_vanilla_overwrites.txt,living_sea,True,has_modifier,research
static_modifiers,00_pd_unique_placeholders.txt,pd_floating,False,has_modifier,general
static_modifiers,00_pd_unique_placeholders.txt,pd_crystal,False,has_modifier,general
static_modifiers,00_pd_unique_placeholders.txt,pd_biosynth,False,has_modifier,general
static_modifiers,pd_ascension_static_modifiers.txt,pd_tree_of_life_bloomed,True,has_modifier,defense
static_modifiers,pd_ascension_static_modifiers.txt,pd_tree_of_life_home,True,has_modifier,defense
static_modifiers,pd_ascension_static_modifiers.txt,pd_tree_of_life_growing,True,has_modifier,general
static_modifiers,pd_ascension_static_modifiers.txt,pd_no_lifetree,True,has_modifier,defense
static_modifiers,pd_domed_colonies_modifiers.txt,hab_terraforming_candidate,True,has_modifier,general
static_modifiers,pd_domed_colonies_modifiers.txt,pd_domed_colony,True,has_modifier,defense
static_modifiers,pd_domed_colonies_modifiers.txt,pd_domed_moonbase_site_1,True,has_modifier,general
static_modifiers,pd_domed_colonies_modifiers.txt,pd_domed_moonbase_site_2,True,has_modifier,general
static_modifiers,pd_domed_colonies_modifiers.txt,pd_domed_moonbase_site_3,True,has_modifier,general
static_modifiers,pd_domed_colonies_modifiers.txt,pd_domed_moonbase_site_4,True,has_modifier,general
static_modifiers,pd_domed_colonies_modifiers.txt,pd_domed_moonbase_site_5,True,has_modifier,general
static_modifiers,pd_domed_colonies_modifiers.txt,pd_domed_research_site_1,True,has_modifier,research
static_modifiers,pd_domed_colonies_modifiers.txt,pd_domed_research_site_2,True,has_modifier,research
static_modifiers,pd_domed_colonies_modifiers.txt,pd_domed_research_site_3,True,has_modifier,research
static_modifiers,pd_domed_colonies_modifiers.txt,pd_domed_mining_site_1,True,has_modifier,minerals
static_modifiers,pd_domed_colonies_modifiers.txt,pd_domed_mining_site_2,True,has_modifier,minerals
