run_id,checkpoint_year,date,empire_rank,empire_name,country_id,economy_power,tech_power,fleet_power,naval_capacity_used,naval_capacity_available,research,alloys_income,consumer_goods_income,energy_income,minerals_income,food_income,pops,colonies,systems,habitats,megastructures,deficits,notes,evidence_file
observer-20260709T052514Z,2250,2250.01.01,1,SPEC_Alari Kernel,1,1458.724,1712.5,111,111,,204.761,102.995,,580.183,452.332,5.2,14231,8,,,4,,save country type country; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2250-autosave_2250.01.01.sav
observer-20260709T052514Z,2250,2250.01.01,2,Feral Hesukaran Annihilators,2,1406.083,1960,157,157,,178.586,51.34,,343.002,311.862,369.537,15150,5,,,9,,save country type 1; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2250-autosave_2250.01.01.sav
observer-20260709T052514Z,2250,2250.01.01,3,NAME_The_Chosen,49,1375.241,1647.5,40,40,,226.755,74.282,225.46,275.068,249.319,,24674,3,,,6,,save country type 2; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2250-autosave_2250.01.01.sav
observer-20260709T052514Z,2250,2250.01.01,4,EMPIRE_DESIGN_xt489,16777221,1319.462,1777.5,206,206,,185.516,81.091,,560.522,312.027,19.2,13629,6,,,9,,save country type 1; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2250-autosave_2250.01.01.sav
observer-20260709T052514Z,2250,2250.01.01,5,Klumetan Berserkers,3,1201.565,2955,25,25,,274.516,48.57,137.378,264.348,202.49,155.4,14621,5,,,6,,save country type 1; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2250-autosave_2250.01.01.sav
observer-20260709T052514Z,2250,2250.01.01,6,EMPIRE_DESIGN_lithoid_humans,42,1134.917,1540,110,110,,134.685,43.436,96.569,284.646,363.016,,9986,5,,,3,,save country type country; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2250-autosave_2250.01.01.sav
observer-20260709T052514Z,2250,2250.01.01,7,EMPIRE_DESIGN_humans3,13,836.001,1220,145,145,,107.147,83.136,123.711,217.237,,144.603,11077,2,,,,,save country type colony; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2250-autosave_2250.01.01.sav
observer-20260709T052514Z,2250,2250.01.01,8,AofB,16777220,694.182,1352.5,4,4,,89.423,24.925,76.332,148.148,110.396,181.618,11385,3,,,1,,save country type 1; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2250-autosave_2250.01.01.sav
observer-20260709T052514Z,2250,2250.01.01,9,Kidean %ADJ% Sovereign Suns,33554470,287.175,1175,112,208,,49.913,21.914,31.914,58.675,22.4,50.808,1860,1,,,,,save country type 2; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2250-autosave_2250.01.01.sav
observer-20260709T052514Z,2300,2300.01.01,1,SPEC_Alari Kernel,1,3591.263,3517.5,0,0,,246.836,265.593,,1521.503,822.863,8,27945,8,,,17,,save country type country; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2300-autosave_2300.01.01.sav
