surface,object_type,object_id,merge_model,definitions_count,source_mod_count,load_position,game_registry_id,steam_id,display_name,source_kind,relative_file,source_file,has_ai_weight,ai_weight_count,all_sources_load_order,conflict_or_merge_risk
ai_budget,ai_budget_entry,alloys_expenditure_armies,top_level_duplicate_unproven; category/resource duplicates allowed,2,2,115,mod/ugc_3610149307.mod,3610149307,Stellar AI,focus_mod,common/ai_budget/00_alloys_budget.txt,c:\steam\steamapps\workshop\content\281990\3610149307\common\ai_budget\00_alloys_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_alloys_budget.txt | 115:Stellar AI:common/ai_budget/00_alloys_budget.txt,override_conflict
ai_budget,ai_budget_entry,alloys_expenditure_armies_threatened,top_level_duplicate_unproven; category/resource duplicates allowed,2,2,115,mod/ugc_3610149307.mod,3610149307,Stellar AI,focus_mod,common/ai_budget/00_alloys_budget.txt,c:\steam\steamapps\workshop\content\281990\3610149307\common\ai_budget\00_alloys_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_alloys_budget.txt | 115:Stellar AI:common/ai_budget/00_alloys_budget.txt,override_conflict
ai_budget,ai_budget_entry,alloys_expenditure_buffer,top_level_duplicate_unproven; category/resource duplicates allowed,2,2,115,mod/ugc_3610149307.mod,3610149307,Stellar AI,focus_mod,common/ai_budget/00_alloys_budget.txt,c:\steam\steamapps\workshop\content\281990\3610149307\common\ai_budget\00_alloys_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_alloys_budget.txt | 115:Stellar AI:common/ai_budget/00_alloys_budget.txt,override_conflict
ai_budget,ai_budget_entry,alloys_expenditure_colonies_expand,top_level_duplicate_unproven; category/resource duplicates allowed,2,2,115,mod/ugc_3610149307.mod,3610149307,Stellar AI,focus_mod,common/ai_budget/00_alloys_budget.txt,c:\steam\steamapps\workshop\content\281990\3610149307\common\ai_budget\00_alloys_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_alloys_budget.txt | 115:Stellar AI:common/ai_budget/00_alloys_budget.txt,override_conflict
ai_budget,ai_budget_entry,alloys_expenditure_colonies_infernal_expand,top_level_duplicate_unproven; category/resource duplicates allowed,2,2,115,mod/ugc_3610149307.mod,3610149307,Stellar AI,focus_mod,common/ai_budget/00_alloys_budget.txt,c:\steam\steamapps\workshop\content\281990\3610149307\common\ai_budget\00_alloys_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_alloys_budget.txt | 115:Stellar AI:common/ai_budget/00_alloys_budget.txt,override_conflict
ai_budget,ai_budget_entry,alloys_expenditure_decisions,top_level_duplicate_unproven; category/resource duplicates allowed,2,2,115,mod/ugc_3610149307.mod,3610149307,Stellar AI,focus_mod,common/ai_budget/00_alloys_budget.txt,c:\steam\steamapps\workshop\content\281990\3610149307\common\ai_budget\00_alloys_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_alloys_budget.txt | 115:Stellar AI:common/ai_budget/00_alloys_budget.txt,override_conflict
ai_budget,ai_budget_entry,alloys_expenditure_deposit_blockers,top_level_duplicate_unproven; category/resource duplicates allowed,2,2,115,mod/ugc_3610149307.mod,3610149307,Stellar AI,focus_mod,common/ai_budget/00_alloys_budget.txt,c:\steam\steamapps\workshop\content\281990\3610149307\common\ai_budget\00_alloys_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_alloys_budget.txt | 115:Stellar AI:common/ai_budget/00_alloys_budget.txt,override_conflict
ai_budget,ai_budget_entry,alloys_expenditure_habitats,top_level_duplicate_unproven; category/resource duplicates allowed,2,2,115,mod/ugc_3610149307.mod,3610149307,Stellar AI,focus_mod,common/ai_budget/00_alloys_budget.txt,c:\steam\steamapps\workshop\content\281990\3610149307\common\ai_budget\00_alloys_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_alloys_budget.txt | 115:Stellar AI:common/ai_budget/00_alloys_budget.txt,override_conflict
ai_budget,ai_budget_entry,alloys_expenditure_megastructures,top_level_duplicate_unproven; category/resource duplicates allowed,3,3,120,mod/StellarAIDirector.mod,,Stellar AI Director,local_patch,common/ai_budget/zzz_staid_alloys_budget.txt,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\mods\StellarAIDirector\common\ai_budget\zzz_staid_alloys_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_alloys_budget.txt | 115:Stellar AI:common/ai_budget/00_alloys_budget.txt | 120:Stellar AI Director:common/ai_budget/zzz_staid_alloys_budget.txt,override_conflict
ai_budget,ai_budget_entry,alloys_expenditure_megastructures_arkships,top_level_duplicate_unproven; category/resource duplicates allowed,2,2,115,mod/ugc_3610149307.mod,3610149307,Stellar AI,focus_mod,common/ai_budget/00_alloys_budget.txt,c:\steam\steamapps\workshop\content\281990\3610149307\common\ai_budget\00_alloys_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_alloys_budget.txt | 115:Stellar AI:common/ai_budget/00_alloys_budget.txt,override_conflict
ai_budget,ai_budget_entry,alloys_expenditure_megastructures_waystations,top_level_duplicate_unproven; category/resource duplicates allowed,2,2,115,mod/ugc_3610149307.mod,3610149307,Stellar AI,focus_mod,common/ai_budget/00_alloys_budget.txt,c:\steam\steamapps\workshop\content\281990\3610149307\common\ai_budget\00_alloys_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_alloys_budget.txt | 115:Stellar AI:common/ai_budget/00_alloys_budget.txt,override_conflict
ai_budget,ai_budget_entry,alloys_expenditure_planets,top_level_duplicate_unproven; category/resource duplicates allowed,2,2,115,mod/ugc_3610149307.mod,3610149307,Stellar AI,focus_mod,common/ai_budget/00_alloys_budget.txt,c:\steam\steamapps\workshop\content\281990\3610149307\common\ai_budget\00_alloys_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_alloys_budget.txt | 115:Stellar AI:common/ai_budget/00_alloys_budget.txt,override_conflict
ai_budget,ai_budget_entry,alloys_expenditure_ship_upgrades,top_level_duplicate_unproven; category/resource duplicates allowed,2,2,115,mod/ugc_3610149307.mod,3610149307,Stellar AI,focus_mod,common/ai_budget/00_alloys_budget.txt,c:\steam\steamapps\workshop\content\281990\3610149307\common\ai_budget\00_alloys_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_alloys_budget.txt | 115:Stellar AI:common/ai_budget/00_alloys_budget.txt,override_conflict
ai_budget,ai_budget_entry,alloys_expenditure_ships,top_level_duplicate_unproven; category/resource duplicates allowed,2,2,115,mod/ugc_3610149307.mod,3610149307,Stellar AI,focus_mod,common/ai_budget/00_alloys_budget.txt,c:\steam\steamapps\workshop\content\281990\3610149307\common\ai_budget\00_alloys_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_alloys_budget.txt | 115:Stellar AI:common/ai_budget/00_alloys_budget.txt,override_conflict
ai_budget,ai_budget_entry,alloys_expenditure_starbases,top_level_duplicate_unproven; category/resource duplicates allowed,2,2,115,mod/ugc_3610149307.mod,3610149307,Stellar AI,focus_mod,common/ai_budget/00_alloys_budget.txt,c:\steam\steamapps\workshop\content\281990\3610149307\common\ai_budget\00_alloys_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_alloys_budget.txt | 115:Stellar AI:common/ai_budget/00_alloys_budget.txt,override_conflict
ai_budget,ai_budget_entry,alloys_expenditure_starbases_expand,top_level_duplicate_unproven; category/resource duplicates allowed,2,2,115,mod/ugc_3610149307.mod,3610149307,Stellar AI,focus_mod,common/ai_budget/00_alloys_budget.txt,c:\steam\steamapps\workshop\content\281990\3610149307\common\ai_budget\00_alloys_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_alloys_budget.txt | 115:Stellar AI:common/ai_budget/00_alloys_budget.txt,override_conflict
ai_budget,ai_budget_entry,alloys_expenditure_starbases_fallen_empires,top_level_duplicate_unproven; category/resource duplicates allowed,2,2,115,mod/ugc_3610149307.mod,3610149307,Stellar AI,focus_mod,common/ai_budget/00_alloys_budget.txt,c:\steam\steamapps\workshop\content\281990\3610149307\common\ai_budget\00_alloys_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_alloys_budget.txt | 115:Stellar AI:common/ai_budget/00_alloys_budget.txt,override_conflict
ai_budget,ai_budget_entry,alloys_upkeep_buffer,top_level_duplicate_unproven; category/resource duplicates allowed,2,2,115,mod/ugc_3610149307.mod,3610149307,Stellar AI,focus_mod,common/ai_budget/00_alloys_budget.txt,c:\steam\steamapps\workshop\content\281990\3610149307\common\ai_budget\00_alloys_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_alloys_budget.txt | 115:Stellar AI:common/ai_budget/00_alloys_budget.txt,override_conflict
ai_budget,ai_budget_entry,alloys_upkeep_planets,top_level_duplicate_unproven; category/resource duplicates allowed,2,2,115,mod/ugc_3610149307.mod,3610149307,Stellar AI,focus_mod,common/ai_budget/00_alloys_budget.txt,c:\steam\steamapps\workshop\content\281990\3610149307\common\ai_budget\00_alloys_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_alloys_budget.txt | 115:Stellar AI:common/ai_budget/00_alloys_budget.txt,override_conflict
ai_budget,ai_budget_entry,alloys_upkeep_ships,top_level_duplicate_unproven; category/resource duplicates allowed,2,2,115,mod/ugc_3610149307.mod,3610149307,Stellar AI,focus_mod,common/ai_budget/00_alloys_budget.txt,c:\steam\steamapps\workshop\content\281990\3610149307\common\ai_budget\00_alloys_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_alloys_budget.txt | 115:Stellar AI:common/ai_budget/00_alloys_budget.txt,override_conflict
ai_budget,ai_budget_entry,influence_expenditure_claims,top_level_duplicate_unproven; category/resource duplicates allowed,2,2,120,mod/StellarAIDirector.mod,,Stellar AI Director,local_patch,common/ai_budget/zzzz_staid_08_site_limited_expansion_ai_budget.txt,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\mods\StellarAIDirector\common\ai_budget\zzzz_staid_08_site_limited_expansion_ai_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_influence_budget.txt | 120:Stellar AI Director:common/ai_budget/zzzz_staid_08_site_limited_expansion_ai_budget.txt,override_conflict
ai_budget,ai_budget_entry,influence_expenditure_claims_fanatic_militarist,top_level_duplicate_unproven; category/resource duplicates allowed,2,2,120,mod/StellarAIDirector.mod,,Stellar AI Director,local_patch,common/ai_budget/zzzz_staid_08_site_limited_expansion_ai_budget.txt,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\mods\StellarAIDirector\common\ai_budget\zzzz_staid_08_site_limited_expansion_ai_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_influence_budget.txt | 120:Stellar AI Director:common/ai_budget/zzzz_staid_08_site_limited_expansion_ai_budget.txt,override_conflict
ai_budget,ai_budget_entry,influence_expenditure_claims_militarist,top_level_duplicate_unproven; category/resource duplicates allowed,2,2,120,mod/StellarAIDirector.mod,,Stellar AI Director,local_patch,common/ai_budget/zzzz_staid_08_site_limited_expansion_ai_budget.txt,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\mods\StellarAIDirector\common\ai_budget\zzzz_staid_08_site_limited_expansion_ai_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_influence_budget.txt | 120:Stellar AI Director:common/ai_budget/zzzz_staid_08_site_limited_expansion_ai_budget.txt,override_conflict
ai_budget,ai_budget_entry,minerals_expenditure_armies,top_level_duplicate_unproven; category/resource duplicates allowed,2,2,115,mod/ugc_3610149307.mod,3610149307,Stellar AI,focus_mod,common/ai_budget/00_minerals_budget.txt,c:\steam\steamapps\workshop\content\281990\3610149307\common\ai_budget\00_minerals_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_minerals_budget.txt | 115:Stellar AI:common/ai_budget/00_minerals_budget.txt,override_conflict
ai_budget,ai_budget_entry,minerals_expenditure_armies_threatened,top_level_duplicate_unproven; category/resource duplicates allowed,2,2,115,mod/ugc_3610149307.mod,3610149307,Stellar AI,focus_mod,common/ai_budget/00_minerals_budget.txt,c:\steam\steamapps\workshop\content\281990\3610149307\common\ai_budget\00_minerals_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_minerals_budget.txt | 115:Stellar AI:common/ai_budget/00_minerals_budget.txt,override_conflict
ai_budget,ai_budget_entry,minerals_expenditure_buffer,top_level_duplicate_unproven; category/resource duplicates allowed,2,2,115,mod/ugc_3610149307.mod,3610149307,Stellar AI,focus_mod,common/ai_budget/00_minerals_budget.txt,c:\steam\steamapps\workshop\content\281990\3610149307\common\ai_budget\00_minerals_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_minerals_budget.txt | 115:Stellar AI:common/ai_budget/00_minerals_budget.txt,override_conflict
ai_budget,ai_budget_entry,minerals_expenditure_colonies_lithoid_expand,top_level_duplicate_unproven; category/resource duplicates allowed,2,2,115,mod/ugc_3610149307.mod,3610149307,Stellar AI,focus_mod,common/ai_budget/00_minerals_budget.txt,c:\steam\steamapps\workshop\content\281990\3610149307\common\ai_budget\00_minerals_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_minerals_budget.txt | 115:Stellar AI:common/ai_budget/00_minerals_budget.txt,override_conflict
ai_budget,ai_budget_entry,minerals_expenditure_decisions_wilderness,top_level_duplicate_unproven; category/resource duplicates allowed,2,2,115,mod/ugc_3610149307.mod,3610149307,Stellar AI,focus_mod,common/ai_budget/00_minerals_budget.txt,c:\steam\steamapps\workshop\content\281990\3610149307\common\ai_budget\00_minerals_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_minerals_budget.txt | 115:Stellar AI:common/ai_budget/00_minerals_budget.txt,override_conflict
ai_budget,ai_budget_entry,minerals_expenditure_deposit_blockers,top_level_duplicate_unproven; category/resource duplicates allowed,2,2,115,mod/ugc_3610149307.mod,3610149307,Stellar AI,focus_mod,common/ai_budget/00_minerals_budget.txt,c:\steam\steamapps\workshop\content\281990\3610149307\common\ai_budget\00_minerals_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_minerals_budget.txt | 115:Stellar AI:common/ai_budget/00_minerals_budget.txt,override_conflict
ai_budget,ai_budget_entry,minerals_expenditure_planets_high,top_level_duplicate_unproven; category/resource duplicates allowed,3,3,120,mod/StellarAIDirector.mod,,Stellar AI Director,local_patch,common/ai_budget/zzzz_staid_14_minerals_planet_construction_budget.txt,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\mods\StellarAIDirector\common\ai_budget\zzzz_staid_14_minerals_planet_construction_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_minerals_budget.txt | 115:Stellar AI:common/ai_budget/00_minerals_budget.txt | 120:Stellar AI Director:common/ai_budget/zzzz_staid_14_minerals_planet_construction_budget.txt,override_conflict
ai_budget,ai_budget_entry,minerals_expenditure_planets_low,top_level_duplicate_unproven; category/resource duplicates allowed,3,3,120,mod/StellarAIDirector.mod,,Stellar AI Director,local_patch,common/ai_budget/zzzz_staid_14_minerals_planet_construction_budget.txt,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\mods\StellarAIDirector\common\ai_budget\zzzz_staid_14_minerals_planet_construction_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_minerals_budget.txt | 115:Stellar AI:common/ai_budget/00_minerals_budget.txt | 120:Stellar AI Director:common/ai_budget/zzzz_staid_14_minerals_planet_construction_budget.txt,override_conflict
ai_budget,ai_budget_entry,minerals_expenditure_planets_med,top_level_duplicate_unproven; category/resource duplicates allowed,3,3,120,mod/StellarAIDirector.mod,,Stellar AI Director,local_patch,common/ai_budget/zzzz_staid_14_minerals_planet_construction_budget.txt,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\mods\StellarAIDirector\common\ai_budget\zzzz_staid_14_minerals_planet_construction_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_minerals_budget.txt | 115:Stellar AI:common/ai_budget/00_minerals_budget.txt | 120:Stellar AI Director:common/ai_budget/zzzz_staid_14_minerals_planet_construction_budget.txt,override_conflict
ai_budget,ai_budget_entry,minerals_expenditure_ship_upgrades,top_level_duplicate_unproven; category/resource duplicates allowed,2,2,115,mod/ugc_3610149307.mod,3610149307,Stellar AI,focus_mod,common/ai_budget/00_minerals_budget.txt,c:\steam\steamapps\workshop\content\281990\3610149307\common\ai_budget\00_minerals_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_minerals_budget.txt | 115:Stellar AI:common/ai_budget/00_minerals_budget.txt,override_conflict
ai_budget,ai_budget_entry,minerals_expenditure_ships,top_level_duplicate_unproven; category/resource duplicates allowed,2,2,115,mod/ugc_3610149307.mod,3610149307,Stellar AI,focus_mod,common/ai_budget/00_minerals_budget.txt,c:\steam\steamapps\workshop\content\281990\3610149307\common\ai_budget\00_minerals_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_minerals_budget.txt | 115:Stellar AI:common/ai_budget/00_minerals_budget.txt,override_conflict
ai_budget,ai_budget_entry,minerals_expenditure_stations_expand,top_level_duplicate_unproven; category/resource duplicates allowed,2,2,115,mod/ugc_3610149307.mod,3610149307,Stellar AI,focus_mod,common/ai_budget/00_minerals_budget.txt,c:\steam\steamapps\workshop\content\281990\3610149307\common\ai_budget\00_minerals_budget.txt,no,0,0:Stellaris vanilla:common/ai_budget/00_minerals_budget.txt | 115:Stellar AI:common/ai_budget/00_minerals_budget.txt,override_conflict
