surface,object_id,load_position,steam_id,display_name,relative_file,has_ai_weight,ai_weight_count,has_resources,has_potential,has_possible,nested_from_count,nested_owner_count,definitions_count,source_file
megastructures,AAR_MEGA_webway_BASE,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,AAR_MEGA_webway_CLOSE,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,AAR_MEGA_webway_NEXUS,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,AAR_MEGA_webway_NODE,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,Dgate_base,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,Empyreal_Travel_Beacon_0,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,Empyreal_Travel_Beacon_1,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,Empyreal_Travel_Beacon_2,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,GFnyto_lgate_base,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,KZ_VOY_terran_ancient_gateway,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,Shield_Gate,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,TAC_DebrisFleet_gate_close,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,TAC_DebrisFleet_gate_open,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,TAC_DebrisFleet_gate_open_crisis_type,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,TAC_DebrisFleet_gate_open_player_type,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,TAC_gateway_control_01,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,TAC_gateway_control_02,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,TACgate_closed,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,TACgate_opened,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,TACgate_opened_A,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,TACgate_opened_B,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,TACgate_opened_C,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,TACgate_system_01,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,TACgate_system_01_A,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,TACgate_system_01_B,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,TACgate_system_01_C,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,TACgate_system_02,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,Transwarp_hub_1,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,Transwarp_hub_2,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,Transwarp_hub_3,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,Transwarp_hub_4,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,Transwarp_hub_5,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,a_gateway_0,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,a_gateway_final,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,acot_dark_matter_obelisk_core_oe,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/000_z_giga_compat_dummy_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\000_z_giga_compat_dummy_megas.txt
megastructures,aeternum_forge_0,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/zzz_unlisted_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\zzz_unlisted_megas.txt
megastructures,aeternum_forge_1,62,1121692237,Gigastructural Engineering & More (4.4),common/megastructures/zzz_unlisted_megas.txt,no,0,no,yes,no,0,0,1,c:\steam\steamapps\workshop\content\281990\1121692237\common\megastructures\zzz_unlisted_megas.txt
