run_id,checkpoint_year,date,empire_rank,empire_name,country_id,economy_power,tech_power,fleet_power,naval_capacity_used,naval_capacity_available,research,alloys_income,consumer_goods_income,energy_income,minerals_income,food_income,pops,colonies,systems,habitats,megastructures,deficits,notes,evidence_file
observer-20260707T050444Z,2250,2250.01.01,1,NAME_The_Chosen,37,2022.865,1362.5,115,115,,285.465,37.75,239.672,530.453,272.642,316.04,25249,,,,,,save country type 2; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2250.01.01.sav
observer-20260707T050444Z,2250,2250.01.01,2,AofB,16777221,1767.298,1657.5,164,164,,406.128,63.198,153.284,457.742,374.199,225.831,13099,,,,,,save country type colony; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2250.01.01.sav
observer-20260707T050444Z,2250,2250.01.01,3,Codrap Collective,16777228,1525.016,1467.5,110,110,,281.126,52.069,,450.916,418.543,330.169,16499,,,,,,save country type colony; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2250.01.01.sav
observer-20260707T050444Z,2250,2250.01.01,4,SPEC_Alari Kernel,1,1452.18,1122.5,120,120,,137.25,114.866,,546.594,380.902,,9408,,,,,,save country type colony; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2250.01.01.sav
observer-20260707T050444Z,2250,2250.01.01,5,EMPIRE_DESIGN_scyldari,16777225,1421.504,1735,130,130,,322.217,41.767,176.057,358.851,218.461,239.659,12388,,,,,,save country type 2; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2250.01.01.sav
observer-20260707T050444Z,2250,2250.01.01,6,Hjalnanese %ADJ% Sacrosanct Foundation,16777220,1369.845,2290,110,110,,292.378,50.933,141.92,380.736,251.871,232.415,10069,,,,,,save country type colony; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2250.01.01.sav
observer-20260707T050444Z,2250,2250.01.01,7,Totorapan Council,16777222,1353.592,1605,30,30,,237.445,40.95,131.191,264.122,331.848,173.231,9046,,,,,,save country type colony; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2250.01.01.sav
observer-20260707T050444Z,2250,2250.01.01,8,Feral Hesukaran Annihilators,2,1310.762,1505,170,170,,319.13,51.483,,369.611,300.214,364.554,15943,,,,,,save country type colony; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2250.01.01.sav
observer-20260707T050444Z,2250,2250.01.01,9,Brauvokid Sovereignty,16777223,1235.719,1592.5,135,135,,229.105,55.041,117.201,210.983,239.281,213.012,8480,,,,,,save country type colony; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2250.01.01.sav
observer-20260707T050444Z,2250,2250.01.01,10,Sivichese %ADJ% Unified Planets,16777227,1113.747,2027.5,20,20,,275.03,49.315,104.095,223.464,269.788,190.175,9315,,,,,,save country type colony; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2250.01.01.sav
observer-20260707T050444Z,2250,2250.01.01,11,Mampippian %ADJ% Sovereign Worlds,3,1073.152,1252.5,4,6,,156.716,38.844,149.85,180.681,133.865,234.136,10539,,,,,,save country type colony; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2250.01.01.sav
observer-20260707T050444Z,2250,2250.01.01,12,NAME_Commonwealth_of_Man,16,836.933,980,69,69,,166.684,25.713,130.322,238.694,104.327,135.868,9782,,,,,,save country type 1; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2250.01.01.sav
observer-20260707T050444Z,2300,2300.01.01,1,NAME_The_Chosen,37,4042.9,3527.5,160,160,,723.766,98.322,419.62,1109.293,439.664,610.056,38161,,,,,,save country type 1; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2300.01.01.sav
observer-20260707T050444Z,2300,2300.01.01,2,AofB,16777221,3406.622,4467.5,124,124,,628.18,126.994,335.714,701.35,583.633,435.618,27554,,,,,,save country type country; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2300.01.01.sav
observer-20260707T050444Z,2300,2300.01.01,3,Feral Hesukaran Annihilators,2,2905.565,3865,234,234,,506.418,142.306,,1088.504,469.145,551.521,30919,,,,,,save country type 2; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2300.01.01.sav
observer-20260707T050444Z,2300,2300.01.01,4,Sivichese %ADJ% Unified Planets,16777227,2614.493,4057.5,154,154,,417.886,89.007,336.443,667.172,472.952,244.22,21986,,,,,,save country type 1; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2300.01.01.sav
observer-20260707T050444Z,2300,2300.01.01,5,EMPIRE_DESIGN_scyldari,16777225,2358.858,3935,200,200,,604.332,62.379,251.642,649.387,287.647,380.65,17982,,,,,,save country type country; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2300.01.01.sav
observer-20260707T050444Z,2300,2300.01.01,6,Totorapan Council,16777222,2184.295,3280,30,30,,288.536,63.886,278.483,332.747,328.863,246.492,18162,,,,,,save country type 1; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2300.01.01.sav
observer-20260707T050444Z,2300,2300.01.01,7,Codrap Collective,16777228,2156.255,3425,170,170,,377.001,75.567,,556.289,579.134,480.174,31504,,,,,,save country type 1; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2300.01.01.sav
observer-20260707T050444Z,2300,2300.01.01,8,Brauvokid Sovereignty,16777223,2091.323,4060,20,20,,416.18,73.008,126.917,703.469,337.404,233.328,13429,,,,,,save country type country; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2300.01.01.sav
observer-20260707T050444Z,2300,2300.01.01,9,NAME_Commonwealth_of_Man,16,1991.015,2315,127,127,,265.401,48.879,251.663,477.088,376.008,289.22,21144,,,,,,save country type 1; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2300.01.01.sav
observer-20260707T050444Z,2300,2300.01.01,10,Bachialan Union,16777224,1746.63,5120,133,133,,558.423,77.38,123.161,603.099,173.795,151.206,15003,,,,,,save country type 2; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2300.01.01.sav
observer-20260707T050444Z,2300,2300.01.01,11,Hjalnanese %ADJ% Sacrosanct Foundation,16777220,1713.343,4140,110,110,,422.597,55.897,246.925,319.372,351.769,276.647,15123,,,,,,save country type country; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2300.01.01.sav
observer-20260707T050444Z,2300,2300.01.01,12,SPEC_Alari Kernel,1,1600.768,2207.5,218,218,,241.297,149.819,,503.36,357.006,,14899,,,,,,save country type 2; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2300.01.01.sav
observer-20260707T050444Z,2325,2325.01.01,1,Sivichese %ADJ% Unified Planets,16777227,4970.865,5242.5,222,222,,532.431,148.433,674.594,1089.006,823.566,505.382,38323,,,,,,save country type country; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2325.01.01.sav
observer-20260707T050444Z,2325,2325.01.01,2,NAME_The_Chosen,37,4966.013,5560,160,160,,988.15,149.118,536.817,1123.293,601.497,729.858,43420,,,,,,save country type country; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2325.01.01.sav
observer-20260707T050444Z,2325,2325.01.01,3,United Flusionian States,44,4323.867,9675,661,561,,1069.491,275.377,305.755,1110.671,602.652,299.017,3888,,,,,,save country type 2; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2325.01.01.sav
observer-20260707T050444Z,2325,2325.01.01,4,AofB,16777221,4225.179,6002.5,134,134,,877.665,149.3,505.225,857.891,630.597,453.834,39002,,,,,,save country type country; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2325.01.01.sav
observer-20260707T050444Z,2325,2325.01.01,5,Codrap Collective,16777228,3827.961,5127.5,266,266,,872.007,176.56,,1155.383,662.312,739.182,39749,,,,,,save country type country; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2325.01.01.sav
observer-20260707T050444Z,2325,2325.01.01,6,Feral Hesukaran Annihilators,2,3658.739,5600,94,94,,793.875,165.636,,1248.077,531.816,900.501,37432,,,,,,save country type country; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2325.01.01.sav
observer-20260707T050444Z,2325,2325.01.01,7,EMPIRE_DESIGN_scyldari,16777225,3279.197,6265,311,311,,1154.416,102.265,390.187,809.753,334.583,481.979,18937,,,,,,save country type country; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2325.01.01.sav
observer-20260707T050444Z,2325,2325.01.01,8,Totorapan Council,16777222,2978.447,4425,30,30,,351.224,80.542,348.159,439.634,426.934,352.296,24745,,,,,,save country type country; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2325.01.01.sav
observer-20260707T050444Z,2325,2325.01.01,9,Bachialan Union,16777224,2948.649,6962.5,143,143,,706.862,101.175,174.5,777.897,414.978,168.795,21590,,,,,,save country type country; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2325.01.01.sav
observer-20260707T050444Z,2325,2325.01.01,10,Brauvokid Sovereignty,16777223,2427.186,6622.5,110,110,,634.456,84.03,158.989,816.237,356.593,291.74,14928,,,,,,save country type country; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2325.01.01.sav
observer-20260707T050444Z,2325,2325.01.01,11,NAME_Commonwealth_of_Man,16,2159.235,3002.5,157,157,,295.532,49.033,277.255,459.171,503.594,215.195,25266,,,,,,save country type country; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2325.01.01.sav
observer-20260707T050444Z,2325,2325.01.01,12,Hjalnanese %ADJ% Sacrosanct Foundation,16777220,1964.678,5667.5,255,255,,464.215,57.188,281.675,460.531,351.19,290.489,18776,,,,,,save country type country; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2325.01.01.sav
observer-20260707T050444Z,2350,2350.01.01,1,NAME_The_Chosen,37,8281.867,8657.5,319,319,,1617.88,278.011,856.247,1588.543,965.29,1186.257,49876,,,,,,save country type country; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2350.01.01.sav
observer-20260707T050444Z,2350,2350.01.01,2,Sivichese %ADJ% Unified Planets,16777227,7893.61,8532.5,270,270,,1046.226,270.807,967.272,1667.337,1284.762,809.829,49476,,,,,,save country type country; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2350.01.01.sav
observer-20260707T050444Z,2350,2350.01.01,3,Codrap Collective,16777228,5015.648,8440,266,266,,1352.265,205.431,,1579.567,753.813,1099.553,48830,,,,,,save country type country; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2350.01.01.sav
observer-20260707T050444Z,2350,2350.01.01,4,Bachialan Union,16777224,4792.768,10212.5,169,169,,1615.589,141.175,339.988,1353.655,506.216,178.1,36613,,,,,,save country type country; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2350.01.01.sav
observer-20260707T050444Z,2350,2350.01.01,5,AofB,16777221,4666.972,8465,60,60,,1153.37,117.566,617.685,871.412,608.035,579.013,45109,,,,,,save country type country; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2350.01.01.sav
observer-20260707T050444Z,2350,2350.01.01,6,Feral Hesukaran Annihilators,2,4457.949,8082.5,97,97,,1058.565,222.385,,1295.509,675.769,1234.017,43189,,,,,,save country type country; regular AI benchmark excludes fallen/special countries,saves\checkpoint-2350.01.01.sav
