mod_id,slug,relative_path,top_dir,second_dir,suffix,bytes,is_text
3610149307,stellar-ai,.vscode/settings.json,.vscode,,.json,25,True
3610149307,stellar-ai,common/ai_budget/00_alloys_budget.txt,common,ai_budget,.txt,19692,True
3610149307,stellar-ai,common/ai_budget/00_minerals_budget.txt,common,ai_budget,.txt,7262,True
3610149307,stellar-ai,common/buildings/~stellarai_army_buildings.txt,common,buildings,.txt,1444,True
3610149307,stellar-ai,common/buildings/~stellarai_deposit_buildings.txt,common,buildings,.txt,4005,True
3610149307,stellar-ai,common/buildings/~stellarai_manufacturing_buildings.txt,common,buildings,.txt,20609,True
3610149307,stellar-ai,common/buildings/~stellarai_research_buildings.txt,common,buildings,.txt,32438,True
3610149307,stellar-ai,common/buildings/~stellarai_resource_buildings.txt,common,buildings,.txt,42298,True
3610149307,stellar-ai,common/colony_types/~stellarai_colony_types.txt,common,colony_types,.txt,46282,True
3610149307,stellar-ai,common/defines/9999_stellarai_defines.txt,common,defines,.txt,116,True
3610149307,stellar-ai,common/economic_plans/03_endgame.txt,common,economic_plans,.txt,3207,True
3610149307,stellar-ai,common/economic_plans/04_beyond_endgame.txt,common,economic_plans,.txt,3256,True
3610149307,stellar-ai,common/economic_plans/111_stellarai.txt,common,economic_plans,.txt,6637,True
3610149307,stellar-ai,common/economic_plans/111_stellarai_basic.txt,common,economic_plans,.txt,6992,True
3610149307,stellar-ai,common/inline_scripts/ai/ai_base.txt,common,inline_scripts,.txt,6248,True
3610149307,stellar-ai,common/inline_scripts/colony_types/shared_weights_research.txt,common,inline_scripts,.txt,4089,True
3610149307,stellar-ai,common/inline_scripts/stellarai/building_biolab_2_weight.txt,common,inline_scripts,.txt,203,True
3610149307,stellar-ai,common/inline_scripts/stellarai/building_biolab_3_weight.txt,common,inline_scripts,.txt,210,True
3610149307,stellar-ai,common/inline_scripts/stellarai/building_engineering_facility_2_weight.txt,common,inline_scripts,.txt,211,True
