mod_id,slug,relative_path,top_dir,second_dir,ai_weight,ai_weight_coefficient,ai_resource_production,ai_priority,ai_budget,economic_plan,desired_max,focus,potential,scripted_trigger,scripted_value,on_action,country_event,planet_event,megastructure,technology,strategic_resource,ship_size,component,starbase,personality
3610149307,stellar-ai,common/ai_budget/00_alloys_budget.txt,common,ai_budget,0,0,0,0,0,0,10,0,20,0,0,0,0,0,10,17,0,0,0,46,0
3610149307,stellar-ai,common/ai_budget/00_minerals_budget.txt,common,ai_budget,0,0,0,0,0,0,2,0,19,0,0,0,0,0,0,0,0,3,0,0,0
3610149307,stellar-ai,common/buildings/~stellarai_army_buildings.txt,common,buildings,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3610149307,stellar-ai,common/buildings/~stellarai_deposit_buildings.txt,common,buildings,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0
3610149307,stellar-ai,common/buildings/~stellarai_manufacturing_buildings.txt,common,buildings,12,2,1,0,0,0,0,0,18,0,0,0,0,0,0,0,11,0,0,0,0
3610149307,stellar-ai,common/buildings/~stellarai_research_buildings.txt,common,buildings,21,19,0,0,0,0,0,0,34,0,0,0,0,0,0,0,2,0,0,0,0
3610149307,stellar-ai,common/buildings/~stellarai_resource_buildings.txt,common,buildings,24,3,9,0,0,0,0,0,41,0,0,0,0,0,0,2,12,0,0,0,0
3610149307,stellar-ai,common/colony_types/~stellarai_colony_types.txt,common,colony_types,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0
3610149307,stellar-ai,common/economic_plans/03_endgame.txt,common,economic_plans,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0
3610149307,stellar-ai,common/economic_plans/04_beyond_endgame.txt,common,economic_plans,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0
3610149307,stellar-ai,common/economic_plans/111_stellarai.txt,common,economic_plans,1,0,0,0,0,16,0,4,17,0,0,0,0,0,0,6,0,0,0,0,0
3610149307,stellar-ai,common/economic_plans/111_stellarai_basic.txt,common,economic_plans,1,0,0,0,0,15,0,4,19,0,0,0,0,0,0,6,0,0,0,0,0
